MAL_ID,Name,Score,Genres,English name,,Type,Episodes,Aired,Premiered,,,Studios,Source,,Rating,Ranked,Popularity,,Favorites,Watching,Completed,,Dropped
1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",Cowboy Bebop,,TV,26,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,,,Sunrise,Original,,R - 17+ (violence & profanity),28,39,,61971,105808,718161,,26678
5,Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Cowboy Bebop:The Movie,,Movie,1,1-Sep-01,Unknown,,,Bones,Original,,R - 17+ (violence & profanity),159,518,,1174,4143,208333,,770
6,Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",Trigun,,TV,26,"Apr 1, 1998 to Sep 30, 1998",Spring 1998,,,Madhouse,Manga,,PG-13 - Teens 13 or older,266,201,,12944,29113,343492,,13925
7,Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",Witch Hunter Robin,,TV,26,"Jul 2, 2002 to Dec 24, 2002",Summer 2002,,,Sunrise,Original,,PG-13 - Teens 13 or older,2481,1467,,587,4300,46165,,5378
8,Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",Beet the Vandel Buster,,TV,52,"Sep 30, 2004 to Sep 29, 2005",Fall 2004,,,Toei Animation,Manga,,PG - Children,3710,4369,,18,642,7314,,1108
15,Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",Unknown,,TV,145,"Apr 6, 2005 to Mar 19, 2008",Spring 2005,,,Gallop,Manga,,PG-13 - Teens 13 or older,604,1003,,2066,13907,78349,,11573
16,Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",Honey and Clover,,TV,24,"Apr 15, 2005 to Sep 27, 2005",Spring 2005,,,J.C.Staff,Manga,,PG-13 - Teens 13 or older,468,687,,4101,11909,81145,,11026
17,Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen",Unknown,,TV,52,"Sep 11, 2002 to Sep 10, 2003",Fall 2002,,,Nippon Animation,Manga,,PG-13 - Teens 13 or older,1317,3612,,231,817,13778,,1168
18,Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",Unknown,,TV,24,"Apr 17, 2004 to Feb 18, 2006",Spring 2004,,,A.C.G.T.,Manga,,PG-13 - Teens 13 or older,360,1233,,979,6082,90967,,1356
19,Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",Monster,,TV,74,"Apr 7, 2004 to Sep 28, 2005",Spring 2004,,,Madhouse,Manga,,R+ - Mild Nudity,30,169,,29436,64648,214491,,23008
20,Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",Naruto,,TV,220,"Oct 3, 2002 to Feb 8, 2007",Fall 2002,,,Studio Pierrot,Manga,,PG-13 - Teens 13 or older,660,8,,65586,137167,1462223,,99806
